Des EPIC_ID RAdeg DEdeg Teff logg
0 201524510 162.75439840912 0.9006397781 6072.118 4.184
1 210364668 57.50544667337 12.61212863182 6331.269 3.9689
2 229139490 191.61175737711 1.74849341119 5904.7773 4.2464
3 210375290 59.43109384407 12.87825143369 6142.5195 4.0557
4 210424464 63.52915165032 14.01126295479 99999 99999
5 233244098 257.84889934016 -30.63114569545 5981.2646 4.2548
6 212313611 202.89941798134 -17.12879823046 6569.8496 4.2493
7 213564924 289.63740531165 -28.98705717559 5846.2954 3.1284
8 245929151 349.29488650723 -11.75914736576 5828.3945 3.9359
9 205992463 341.75716135548 -15.04119514617 6049.8916 4.058
10 210348175 60.26338067102 12.17063587682 99999 99999
11 213460155 291.49946050998 -29.34624283278 5785.762 2.9317
12 213771857 289.16227296865 -28.32522525233 99999 99999
13 220212575 20.80008355645 0.44736859416 5959.6514 4.2256
14 233255464 257.68424625291 -30.58440343212 99999 99999
15 246777911 73.96490982141 15.50042961428 99999 99999
16 210412360 56.85850255657 13.74651034393 6871.7163 3.7391
17 212223307 131.06733740741 25.07576936377 6030.2285 3.8832
18 211354585 128.83909931018 10.89732860643 8028.7393 3.7319
19 240323983 264.30641098424 -29.75687722925 5043.8857 2.7903
20 246808313 75.07501124787 15.83001749308 5029.554 4.4813
21 248459053 157.01425573761 1.79734792112 6013.517 4.1356
22 251579275 202.40442114723 -1.77321039174 99999 99999
23 210359088 54.81817972581 12.46737364606 6277.0483 3.8522
24 211526243 124.41267528462 13.51003133213 6101.4062 3.8998
25 220206302 18.87147833963 0.21986265725 5691.8296 4.2983
26 246003817 356.34426705223 -9.38828107035 99999 99999
27 246901772 78.13105873987 16.77046463273 4524.9663 2.1315
28 251390390 137.70205479017 24.17569639169 6322.2944 4.1679
29 201245474 169.45946374012 -3.27805430164 4737.2534 2.4542
30 210353952 54.58156862014 12.33159529787 4726.6055 2.0885
31 240434086 265.35064598034 -29.37778912404 99999 99999
32 220193778 18.12583207832 -0.24104807498 6221.242 4.1805
33 246748588 72.33226821074 15.16309770875 5523.9834 4.5836
34 202795106 247.36257062503 -28.33711988142 99999 99999
35 210367322 58.34817502973 12.67917895064 99999 99999
36 235851625 258.3682586841 -29.16056112545 99999 99999
37 249116789 233.85377589801 -26.71952036091 6486.5015 3.9305
38 212372982 200.55192079206 -15.55418575756 99999 99999
39 205960122 339.20303646051 -16.03999455755 99999 99999
40 210408934 62.54782949262 13.67000724163 7030.1885 4.0749
41 220232512 21.874034546 1.14242158686 6674.724 4.0017
42 245924645 348.5557956096 -11.97966306008 4836.7925 2.7927
43 202544292 246.71159422261 -29.28503649427 99999 99999
44 248452172 159.49179745002 1.54778686348 6084.675 4.1277
45 210353444 54.81809321445 12.31695921989 6726.4287 3.9222
46 210356761 57.94842639873 12.40652466427 99999 99999
47 211377609 132.35764992535 11.28248358454 99999 99999
48 211519965 123.32771304322 13.42029632716 5559.3037 4.1304
49 211387663 126.16602722106 11.44555758471 4728.6895 2.3789
50 220233210 21.61448322735 1.16708583902 99999 99999
51 240317900 262.47211616887 -29.77760523959 99999 99999
52 245956754 352.15497410301 -10.64836310761 5699.002 4.0905
53 251592579 202.88147055943 -1.48647091768 4766.3813 2.6943
54 202828096 249.76182865036 -28.21568320392 6067.217 3.9931
55 212335013 201.75952140864 -16.53069209845 99999 99999
56 242169936 262.10560445931 -30.17846131843 5784.8315 3.8727
57 246714213 74.88732580421 14.74932200348 5739.5615 3.782
58 248525678 154.10660139058 3.90297499351 5814.017 4.4678
59 202600984 245.60658889962 -29.06394053246 99999 99999
60 211348409 129.07510933571 10.78499112727 6496.619 3.9052
61 242138878 263.82761115994 -30.28369332281 99999 99999
62 211412749 129.67268425231 11.83278037983 5495.816 4.2899
63 212375944 200.07301591771 -15.47978847058 4683.7246 2.2356
64 245937443 352.23635789884 -11.34791668403 6220.648 4.2322
65 246009318 354.71134310802 -9.24630516467 5860.4697 4.2483
66 211407821 127.35543235517 11.76022822268 4878.543 2.7283
67 212283699 206.55856385193 -18.02878977504 5611.374 4.3394
68 212329105 204.15763798514 -16.69072316621 99999 99999
69 210307378 58.2330747787 10.93245990444 99999 99999
70 235838906 258.43841139626 -29.1996543888 99999 99999
71 242183629 264.15728619248 -30.13511146454 7864.876 3.9098
72 205928036 334.78742670398 -17.12563773761 4857.1294 2.4688
73 249207903 229.18995188905 -25.57447391959 4684.7197 2.4236
74 212151867 136.04874253243 23.07316407364 99999 99999
75 213408367 289.61472907826 -29.53037826286 4352.9526 1.9274
76 213490042 289.26616055855 -29.24179274916 99999 99999
77 213588425 290.48851041902 -28.90859963317 99999 99999
78 220164920 12.94494276686 -1.38501569599 6178.68 4.1849
