Column0,EPIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day,RA,Dec,MatchID,MatchRa,MatchDEC,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff_,e_Teff,logg_,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,_selected_
1308,248418078,4194.9883,4.3945,3,79.6639397160616,0.108971378171797,0.122593863037764,0.102158324029006,1.75443490346273,2.12399959564209,1.07731819152832,0.0015690913661253,0.0376581927870076,159.95440121612,0.27762438338,374296641,159.95440049647,0.277625188187753,0.00388666561091278,20190415,,,452-048911,10394905+0016396,1237648721758847126,J103949.05+001639.4,3806878622548545408,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,247.799483145346,48.5392523441938,161.385713391002,-7.57927646342787,18.56,0.168,16.873,1.133,20.4407,0.0432184,17.6939,0.00531637,16.4075,0.00450726,15.8536,0.00467117,15.5386,0.00623068,14.355,0.029,13.691,0.027,13.605,0.053,AAA-222-111-000-0-0,NaN,13.512,0.026,13.558,0.034,12.138,NaN,9.11,NaN,16.426,0.003771,15.6058,0.0077,gbprp,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,17.218,0.010734,15.4996,0.002822,0,,ucac4,bpbj,,0.334216496942887,0.298851606916054,159.95440049647,0.277625188187753,0.334216496942887,0.298851606916054,1,0,False
3223,248441834,3677.8818,4.9107,0,79.6638889743481,0,0,0,0,0,0,0,0,159.11465767714,1.17538658966,374268839,159.114657638702,1.17538870567115,0.00761889633692535,20190415,,,,10362751+0110315,1237648722832195784,,3807603338152646272,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,245.943285152186,48.5246384871334,160.261079182779,-7.06278355576809,19.082,0.177,19.5326,0.0569,22.6759,0.299329,20.0891,0.0174252,18.8563,0.010345,18.1304,0.00883254,17.7712,0.0194088,16.574,0.162,15.725,0.148,15.467,0.216,CBD-222-111-000-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9405,0.005001,18.0896,0.0101,gbprp,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,19.6582,0.045049,17.8566,0.027362,0,,gaia2,bpbj,,0.368054550384093,0.361700661297804,159.114657638702,1.17538870567115,0.368054550384093,0.361700661297804,1,0,False
661,228750639,3805.1006,4.6161,0,69.1206785962277,0,0,0,0,0,0,0,0,183.46347440829,-8.89417120511,176911375,183.463476379947,-8.89417238705362,0.00820254767055439,20190415,,,406-055262,12135125-0853391,,J121351.24-085339.0,3582192871656789888,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,287.443328625232,52.8436225957089,186.723651129193,-6.78304140219362,18.073,0.175,16.357,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.02,0.024,12.432,0.026,12.233,0.027,AAA-222-111-000-0-0,NaN,12.064,0.022,11.975,0.022,11.479,0.211,8.278,NaN,15.4746,0.001185,14.5017,0.0062,gbprp,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,16.5705,0.004129,14.4127,0.00162,0,,ucac4,bpbj,,0.408290323400063,0.402660240104348,183.463476379947,-8.89417238705362,0.408290323400063,0.402660240104348,0,0,False
3096,248466505,4081.9504,4.6573,1,79.6638320975471,0.102161075621552,0.102161075621552,0.102161075621552,10.460364818573,10.460364818573,10.460364818573,0.0005230311619411,0.0125527478865881,157.90404007491,2.03967733089,374179545,157.904042424615,2.0396766697733,0.00878222561863296,20190415,,,,10313699+0202224,,J103136.97+020222.4,3855572663943034752,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,243.767833228324,48.1762276198594,158.805471703621,-6.71194767792959,18.803,0.096,18.5831,0.0515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.584,0.072,14.975,0.071,14.81,0.121,AAB-222-111-000-0-0,NaN,14.457,0.032,14.445,0.056,11.661,NaN,8.303,NaN,17.9917,0.001874,16.8749,0.0194666,cdwrf,cdwrf,3966,161,4.6187,0.0572803,NaN,NaN,0.638914,0.0706876,0.61875,0.0557162,2.3724,0.590592,DWARF,0.09098931,0.03531308,NaN,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,cdwrf,18.6755,0.031365,16.875,0.019405,0,,gaia2,bpbj,cooldwarfs_v8,0.141374624256543,0.111725833402514,157.904042424615,2.0396766697733,0.141374624256543,0.111725833402514,1,0,False
971,228750551,4241.9624,4.1342,5,69.1206785713148,0.261527238847339,0.469928865211841,0.122591350096627,2.86679267883301,5.14047145843506,0.632190704345703,0.0030140522002889,0.0723372528069336,183.54880748894,-8.89798857002,176939090,183.548805966257,-8.89798599844935,0.0107253833819925,20190415,,,406-055271,12141170-0853523,,J121411.71-085352.7,3582192326196925952,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,287.580380449578,52.8601125900081,186.803000572396,-6.7528309936019,17.406,0.104,15.87,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.553,0.029,13.046,0.029,12.867,0.029,AAA-222-111-000-0-0,NaN,12.797,0.023,12.789,0.027,11.603,NaN,8.708,NaN,15.5045,0.00131,14.7536,0.0062,gbprp,splin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,441.23,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,16.2049,0.003475,14.6665,0.001604,0,,ucac4,bpbj,,0.165797743919771,0.173729609142477,183.548805966257,-8.89798599844935,0.165797743919771,0.173729609142477,1,0,False
1492,201203425,3699.1272,4.3728,15,79.9701926399721,0.129402187540351,0.183888986968668,0.0817278025060659,0.628901322682699,0.914454460144043,0.512373447418213,0.0078154119599757,0.187569887039417,172.44443280298,-4.02394683422,173103821,172.444435778485,-4.02394737048745,0.0108584108601677,20190415,,,430-053781,11294668-0401262,,J112946.66-040126.2,3787113874541720064,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,267.483173230632,53.133367934527,174.660281135866,-6.69341289795893,18.037,0.178,16.769,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.275,0.027,12.612,0.027,12.349,0.027,AAA-222-111-000-0-0,NaN,12.27,0.024,12.227,0.023,11.537,0.232,8.818,NaN,15.7508,0.001389,14.7767,0.0062,gbprp,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,16.8356,0.005273,14.674,0.002376,0,,ucac4,bpbj,,0.135745888560438,0.0855345609630441,172.444435778485,-4.02394737048745,0.135745888560438,0.0855345609630441,1,0,False
2791,248460920,4224.811,4.6008,2,79.6637943022652,0.0919441225014452,0.102161574686761,0.0817266703161294,2.40784883499146,2.90101766586304,1.91468000411987,0.0010460628201707,0.025105507684099,156.21513814646,1.85886946035,277833121,156.215134846346,1.85886954549722,0.0118781143738446,20190415,,,460-047464,10245163+0151319,,J102451.62+015131.8,3856267963313214720,,,STAR,tmgaia2,tmgaia2,0.749819,0.272322,-0.0137626,0.260462,gaia2,1.01345,0.125527,gaia2,242.380824999431,46.7609890868164,157.291843706881,-7.50307287823265,18.693,0.079,17.3171,0.0469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.924,0.052,14.355,0.048,14.106,0.067,AAA-222-111-000-0-0,NaN,14.134,0.027,14.139,0.048,12.084,NaN,8.61,NaN,16.8632,0.001092,16.0952,0.0066,rered,gaia2,4307,125,4.48089,NaN,NaN,NaN,0.779156,NaN,0.67,NaN,1.41645,NaN,DWARF,0.1882103,NaN,952.659,119.558,0.0408533,0.004699665,0,NaN,,,NaN,0.00498995,0.00440938,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.385,133.731,bj2018,NaN,NaN,dered,17.5847,0.0168,16.0173,0.005399,1,,gaia2,bpbj,,4.22381411946134,4.03984127535012,156.215138076433,1.85886948624158,0.138388879932108,0.14713459858744,1,0,False
1174,205938653,3790.6206,4.6826,6,69.1409897108606,0.143021405154286,0.204315875635075,0.102157809116761,5.05604346593221,6.21248483657837,4.28693294525146,0.0036158001360042,0.0867792032641026,337.5879504483,-16.75169155675,12787262,337.587947027306,-16.7516923724397,0.012153039814996,20190415,,,367-181645,22302108-1645061,,J223021.09-164506.0,2595766500128694784,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,43.1791668571354,-55.8120431267096,333.074117408335,-6.84700407058754,19.196,0.162,16.755,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.933,0.027,13.337,0.038,13.095,0.033,AAA-222-111-000-0-0,NaN,12.994,0.024,12.851,0.029,12.034,NaN,8.408,NaN,16.3648,0.001525,15.2706,0.0075671,cdwrf,cdwrf,3633,157,4.74886,0.0192493,NaN,NaN,0.486938,0.0255449,0.484999,0.0294003,4.20068,0.40833,DWARF,0.03721377,0.01041077,NaN,NaN,NaN,NaN,37,0.03933571,,,0.0001058687,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,cdwrf,17.4758,0.010827,15.3009,0.002293,0,,ucac4,bpbj,cooldwarfs_v8,0.165751570382551,0.177987837374697,337.587947027306,-16.7516923724397,0.165751570382551,0.177987837374697,1,0,False
183,205924604,3656.4272,4.2284,19,69.1408913617997,0.154850048559877,0.326905175425054,0.0817262304408359,1.27144863730983,3.07600498199463,0.260066986083984,0.0114500500510478,0.274801201225148,334.01280516893,-17.25111352198,409119470,334.0128018591,-17.2511115812513,0.0133530087145071,20190415,,,364-184701,22160304-1715038,,J221603.06-171504.1,6825923701704768000,10032476,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,40.0893292686988,-52.8627665275252,329.687429637802,-6.06377463974254,16.656,0.094,15.212,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.192,0.024,11.56,0.024,11.322,0.021,AAA-222-111-000-0-0,NaN,11.291,0.024,11.221,0.023,10.952,0.132,8.486,NaN,14.4922,0.00048,13.4717,0.00730783,cdwrf,cdwrf,3761,157,4.65202,0.0129859,NaN,NaN,0.599042,0.0199627,0.587306,0.0215869,2.73207,0.173057,DWARF,0.06468783,0.01518866,NaN,NaN,NaN,NaN,57,0.04546802,,,0.0003747161,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,cdwrf,15.5009,0.002685,13.4902,0.001187,0,,ucac4,apassdr9,cooldwarfs_v8,0.103758156552901,0.0907155194895937,334.0128018591,-17.2511115812513,0.103758156552901,0.0907155194895937,1,0,False
2914,248460520,4199.4766,4.5103,3,79.6638430011226,0.122590577436009,0.163454393368738,0.10215860932658,3.64886919657389,4.4424295425415,2.45351791381836,0.0015690932710619,0.0376582385054876,158.12147934981,1.84463935903,374200660,158.121475399917,1.84463991737698,0.0143536835993459,20190415,,,,10322915+0150409,1237651753463906386,J103229.15+015040.7,3855551768927244928,,,STAR,tmgaia2,tmgaia2,0.877003,0.20109,-0.125441,0.152464,gaia2,1.01347,0.113888,gaia2,244.201829154489,48.2159102257073,159.081584819865,-6.81231762993254,19.565,0.174,17.7836,0.047,21.3788,0.123163,18.5052,0.00769645,17.2717,0.00534189,16.7708,0.00516562,16.5027,0.00960077,15.326,0.052,14.799,0.07,14.548,0.099,AAA-222-111-000-0-0,NaN,14.544,0.032,14.594,0.062,12.25,NaN,8.163,NaN,17.2898,0.001355,16.4953,0.0074,rered,gaia2,4176,125,4.56569,NaN,NaN,NaN,0.696057,NaN,0.65,NaN,1.92743,NaN,DWARF,0.1327476,NaN,953.714,107.121,0.0295131,0.007948285,0,NaN,,,NaN,0.00422807,0.0116685,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.676,118.566,bj2018,NaN,NaN,dered,18.0578,0.016493,16.4193,0.006985,1,,gaia2,bpbj,,3.11938968970905,2.36447901580438,158.12147917786,1.84463937728379,0.114191501199848,0.078003764750396,1,0,False
2260,205931197,3779.236,4.668,2,69.1409723848847,0.214537426425522,0.265619248297298,0.163455604553746,2.90580987930298,4.12404537200928,1.68757438659668,0.0012052670140281,0.0289264083366758,337.00409287466,-17.0110812161,12770274,337.004097555767,-17.0110812345539,0.0161148171396558,20190415,,,365-189989,22280097-1700398,,J222800.97-170039.7,2595393834406315136,,,STAR,tmgaia2,tmgaia2,-0.990649,0.180748,-0.00701725,0.160373,gaia2,3.27501,0.14633,gaia2,42.3624128663549,-55.4039014686698,332.454665676672,-6.88153258703787,18.472,0.163,20.864,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.185,0.029,13.569,0.031,13.374,0.043,AAA-222-111-000-0-0,NaN,13.211,0.025,13.158,0.033,12.413,0.52,8.397,NaN,16.575,0.001544,15.5064,0.00784941,cdwrf,cdwrf,3649,157,4.78159,0.014324,NaN,NaN,0.449914,0.0207366,0.446461,0.0264279,4.90225,0.388754,DWARF,0.03233324,0.008600359,303.553,13.6235,0.0188517,NaN,39,0.072824,,,9.626688E-05,NaN,NaN,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,bj2018,NaN,NaN,cdwrf,17.6867,0.012227,15.5348,0.003187,1,,ucac4,bpbj,cooldwarfs_v8,2.8360863256637,2.487408473248,337.00409309532,-17.0110812647671,0.137527401331556,0.0899513593211359,1,0,False
461,211474922,4180.8467,4.4669,0,74.8006842558461,0,0,0,0,0,0,0,0,123.17613262775,12.77576723061,27629508,123.176128015287,12.7757664392825,0.016442446285033,20190415,,,514-046406,08124227+1246327,1237667429012013242,J081242.27+124632.7,650491527334820224,41704276,,STAR,tmgaia2,tmgaia2,0.981431,0.0916302,0.18014,0.0520512,gaia2,2.61059,0.0562199,gaia2,210.277145800731,23.7154953245111,122.525211739557,-6.99630827932346,16.882,0.077,15.359,0.034,18.9205,0.0193777,16.2304,0.00400278,14.8383,0.00405012,14.1183,0.00430952,13.7347,0.00446047,12.514,0.021,11.86,0.023,11.683,0.021,AAA-222-111-000-0-0,NaN,11.578,0.024,11.562,0.022,11.442,0.167,8.565,NaN,14.723,0.000308,13.8214,0.0069,rered,gaia2,3937,122,4.14965,NaN,NaN,NaN,1.08861,NaN,0.61,NaN,0.47284,NaN,DWARF,0.2565074,NaN,379.051,8.1425,0.0250962,0.007269165,0,NaN,,,NaN,0.0070297,0.00750863,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.971,8.314,bj2018,NaN,NaN,dered,15.6845,0.002366,13.7547,0.001107,1,,ucac4,apassdr9,,1.42976159429019,0.807201727256039,123.176132348162,12.7757672148853,0.0421225843785552,0.0256654531261864,1,0,False
68,203013984,3430.6116,4.2483,4,59.8446278822375,0.168562698812821,0.224748565029586,0.102159546033363,4.51051592826843,6.7030668258667,3.52029800415039,0.0027849896066633,0.0668397505599201,242.17727954288,-27.55845110985,67824011,242.177282634415,-27.5584473425089,0.0167717754810603,20190415,,,313-087332,16084257-2733299,,J160842.55-273330.2,6042494797606187904,,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,347.805459613461,17.6597388548358,245.390657910075,-6.46511395674527,17.671,0.162,16.409,0.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.297,0.023,10.675,0.022,10.419,0.021,AAA-222-111-000-0-0,NaN,10.275,0.023,10.055,0.02,9.881,0.06,8.583,0.378,14.4805,0.000704,13.0856,0.00730285,cdwrf,cdwrf,3151,157,4.60734,0.0164942,NaN,NaN,0.652763,0.0243577,0.629194,0.0230715,2.26213,0.170768,DWARF,0.0378442,0.01043805,NaN,NaN,NaN,NaN,658,0.1251432,,,0.0004518068,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,cdwrf,16.2553,0.003851,13.1869,0.00113,0,,ucac4,bpbj,cooldwarfs_v8,0.239727281551535,0.116553529437071,242.177282634415,-27.5584473425089,0.239727281551535,0.116553529437071,1,0,False
3113,220176685,4003.1025,4.3791,1,78.6825073814252,0.122589927501394,0.122589927501394,0.122589927501394,4.52502965927124,4.52502965927124,4.52502965927124,0.0005295543832211,0.0127093051973083,14.2919750341,-0.91943702361,269532865,14.291972666414,-0.919432995609183,0.016819854990843,20190415,,,,00571006-0055101,,J005710.06-005510.0,2535960935958131456,,,STAR,tmgaia2,tmgaia2,0.510563,2.36018,-0.853906,2.29433,hsoy,NaN,NaN,,126.172308265396,-63.7551236033064,12.7969691777766,-6.48287854110396,19.645,0.133,18.7362,0.0495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.172,0.081,15.607,0.12,15.432,0.238,ABD-222-111-000-0-0,NaN,15.357,0.042,15.273,0.128,12.294,NaN,8.783,NaN,18.2757,0.003739,17.5086,0.0108,gbprp,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,SPLIT,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,18.894,0.031154,17.3145,0.010336,0,,gaia2,bpbj,,36.5873185765478,35.5633316142802,14.2919748649544,-0.919436672148936,0.495137260691571,0.294163617803757,1,0,False
869,201194247,3833.5825,4.2775,0,79.9702158437576,0,0,0,0,0,0,0,0,173.5374498425,-4.23664062749,49418706,173.537453978991,-4.23663830504051,0.0170424722880636,20190415,,,429-053163,11340899-0414118,1237671129123520577,J113408.98-041411.8,3786305664776635008,2314178,,STAR,tmgaia2,tmgaia2,-0.923773,0.135304,-0.527786,0.0818691,gaia2,2.89384,0.0769057,gaia2,269.237227366701,53.5019654991449,175.752369428301,-6.45533679430251,17.688,0,16.107,0.183,19.4141,0.0259085,16.7773,0.00413714,15.3899,0.00358694,14.6597,0.00371954,14.2494,0.00428858,12.986,0.026,12.368,0.025,12.188,0.029,AAA-222-111-000-0-0,NaN,12.074,0.023,12.062,0.024,12.014,NaN,8.665,NaN,15.2701,0.000827,14.2718,0.00739418,cdwrf,cdwrf,3820,157,4.5661,0.015412,NaN,NaN,0.704658,0.0241212,0.666793,0.0219971,1.90571,0.133158,DWARF,0.09525876,0.02229291,342.425,9.0925,0.0243479,0.00592943,37,0.01062403,,,0.0001479705,0.00443691,0.00742195,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.855,9.33,bj2018,NaN,NaN,cdwrf,16.2295,0.005103,14.2848,0.001667,1,,ucac4,apassdr9,cooldwarfs_v8,2.09958677136666,1.26966696130994,173.537449990737,-4.23664057745248,0.0628402788887036,0.0420317368652447,1,0,False
3203,220191791,4137.712,4.3461,0,78.6826334805228,0,0,0,0,0,0,0,0,19.13827754601,-0.31737702509,248387170,19.138280772071,-0.317373329661518,0.0176595841188614,20190415,,,,01163318-0019025,,J011633.19-001902.4,2534552251108734336,,,STAR,tmgaia2,tmgaia2,-0.71523,0.527094,-0.813728,0.231426,gaia2,0.82857,0.206648,gaia2,136.641365345636,-62.5187219260458,17.5397175998512,-7.78701615819562,19.367,0.12,18.2772,0.0486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.762,0.06,15.156,0.077,14.944,0.107,AAA-222-111-000-0-0,NaN,14.984,0.036,15.113,0.091,12.267,NaN,8.888,NaN,17.7942,0.002136,17.0078,0.0068,rered,gaia2,4197,130,4.66992,NaN,NaN,NaN,0.622078,NaN,0.66,NaN,2.74163,NaN,DWARF,0.1081785,NaN,1098.63,258.848,0.0251084,0.00460541,0,NaN,,,NaN,0.00378047,0.00543035,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,207.415,310.28,bj2018,NaN,NaN,dered,18.5034,0.026351,16.8839,0.009887,1,,gaia2,bpbj,,8.17222517774923,3.58897111348248,19.1382776925612,-0.317376833212658,0.191193493274278,0.115783076495004,1,0,False
3198,246901067,4243.679,4.837,3,80.542191548695,0.115781602299345,0.14302700994449,0.102158894929744,341.996022065481,1011.39030456543,6.79973363876343,0.001551981608601,0.0372475586064259,78.12163044068,16.76356965727,411692153,78.1216292625082,16.7635746368878,0.0183808857778846,20190415,,,,05122919+1645490,1237673474718499990,J051229.21+164548.5,3394757853159252608,,,STAR,tmgaia2,tmgaia2,0.24135,0.293258,-1.12625,0.229212,gaia2,0.465541,0.20545,gaia2,186.125932049821,-13.0080119150499,78.5654165214419,-6.20545033702123,19.294,0.111,18.3621,0.0482,20.8868,0.0729403,18.8454,0.00858286,17.9033,0.00654302,17.4544,0.00665157,17.1765,0.0121779,16.127,0.091,15.481,0.116,15.151,0.132,ABB-222-111-000-0-0,NaN,15.09,0.042,15.148,0.106,11.882,NaN,8.884,NaN,17.9737,0.003338,17.2422,0.0108,rered,gaia2,4796,135,4.52775,NaN,NaN,NaN,0.79141,NaN,0.77,NaN,1.55341,NaN,DWARF,0.2985485,NaN,1837.04,691.35,0.183325,0.01447576,0,NaN,,,NaN,0.020345,0.00860651,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,502.27,880.43,bj2018,NaN,NaN,dered,18.5951,0.027319,17.1515,0.008913,1,,gaia2,bpbj,,4.59743880858665,3.55545336034478,78.1216303477745,16.7635697877558,0.162243875841711,0.137696172027281,1,0,False
731,228710482,4240.328,4.5559,2,68.7938005594333,0.163455487530882,0.204320681143145,0.12259029391862,0.701487064361572,0.882148742675781,0.520825386047363,0.0012113494625338,0.0290723871008134,186.2224858848,-10.83409170894,98671092,186.222491023518,-10.8340932807936,0.0190304109221215,20190415,,,396-053721,12245344-1050028,,J122453.40-105002.7,3577769437594467200,6125586,,STAR,tmgaia2,tmgaia2,NaN,NaN,NaN,NaN,,NaN,NaN,,292.426084981527,51.4953052950563,190.015816546535,-7.47587680164663,16.911,0.094,15.361,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,0.03,12.323,0.022,12.197,0.027,AAA-222-111-000-0-0,NaN,12.078,0.023,12.085,0.023,11.702,0.234,9.107,NaN,15.0123,0.00115,14.1981,0.0062,gbprp,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,15.8151,0.003418,14.1127,0.00139,0,,ucac4,apassdr9,,0.294684677537834,0.186478733848203,186.222491023518,-10.8340932807936,0.294684677537834,0.186478733848203,1,0,False
2706,210438450,3635.9941,4.3386,6,70.8574076008153,0.0987534960622724,0.122594133703387,0.0817264636207255,1.32806301116943,1.6478419303894,1.09953880310059,0.0035282126239843,0.0846771029756239,61.20557303533,14.29796809162,456887847,61.2055719463445,14.2979733731342,0.0193892512272975,20190415,,,,04044933+1417526,1237673327615279357,J040449.33+141752.6,39014044106056320,,,STAR,tmgaia2,tmgaia2,0.228926,0.198119,-1.18606,0.101137,gaia2,2.306,0.0919376,gaia2,177.588338015097,-27.4244091830607,61.9876541361259,-6.38505578470421,19.732,0.164,17.8877,0.0463,21.2636,0.119291,18.779,0.008268,17.2033,0.00513769,16.1205,0.00501195,15.4683,0.00572355,14.084,0.031,13.361,0.035,13.166,0.029,AAA-222-111-000-0-0,NaN,13.077,0.025,12.939,0.027,12.204,0.403,9.011,NaN,16.8184,0.000625,15.63,0.00743324,cdwrf,cdwrf,3463,157,4.64216,0.0171007,NaN,NaN,0.610737,0.0243371,0.596762,0.0240745,2.61962,0.208138,DWARF,0.04832959,0.01269559,428.914,17.0655,0.216065,0.0117996,59,0.1227795,,,5.406483E-05,0.0155939,0.00800531,panstarrs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4,17.731,bj2018,NaN,NaN,cdwrf,18.1255,0.007582,15.6811,0.001808,1,,gaia2,bpbj,cooldwarfs_v8,3.09613715837971,1.56820828435215,61.2055729635052,14.2979682664869,0.0873544239265049,0.0428227201196951,1,0,False
